,device,source,ab_version,value,value_before
0,Mobile,Source1,control,330.8746342909885,335.67572958216306
1,Mobile,Source1,control,369.5242817671498,371.7894507115095
2,Mobile,Source1,control,266.2315476294655,278.17104620579005
3,Mobile,Source1,control,334.6934688250281,337.671705192849
4,Mobile,Source1,control,292.8829352830833,286.47795707335786
5,Mobile,Source1,control,492.26347840979963,486.4646877030258
6,Mobile,Source1,control,364.97628195383055,361.8065035032694
7,Mobile,Source1,control,441.98288628787697,420.647073642908
8,Mobile,Source1,control,309.79985453718825,314.9694533777708
9,Mobile,Source1,control,241.9829090442191,230.98483017216097
10,Mobile,Source1,control,379.70424439456343,355.4568171473617
11,Mobile,Source1,control,371.6386567834667,360.98852689563523
12,Mobile,Source1,control,304.10658163435124,302.2477398514735
13,Mobile,Source1,control,291.4945526902346,297.1557417387029
14,Mobile,Source1,control,305.9685849194262,300.03135937910173
15,Mobile,Source1,control,248.4538579955643,250.74230188809238
16,Mobile,Source1,control,395.4866116827012,419.0647576179109
17,Mobile,Source1,control,274.0422373911279,273.4418776426035
18,Mobile,Source1,control,366.57190142698477,351.538629412723
19,Mobile,Source1,control,293.15728767645265,303.4317860360816
20,Mobile,Source1,control,300.06118917503943,294.40408845410525
21,Mobile,Source1,control,272.0891987007117,275.01573085642565
22,Mobile,Source1,control,359.4305205437725,345.0115102841434
23,Mobile,Source1,control,397.4171229556705,383.7838134378684
24,Mobile,Source1,control,338.16689424348914,344.6421398606475
25,Mobile,Source1,control,286.74181021963625,283.20945917109094
26,Mobile,Source1,control,258.33305642835586,261.5931043515111
27,Mobile,Source1,control,251.66625539093303,251.37988690115836
28,Mobile,Source1,control,335.6626630565519,320.125069975261
29,Mobile,Source1,control,284.52642136781105,280.3830909151453
30,Mobile,Source1,control,363.2411779858184,378.2328216998251
31,Mobile,Source1,control,317.89804506026775,332.0474332044105
32,Mobile,Source1,control,338.10023374661745,347.68320556233647
33,Mobile,Source1,control,341.98902421515163,351.0144911801968
34,Mobile,Source1,control,324.4462009235041,316.195902451668
35,Mobile,Source1,control,321.8728009872421,313.96143516139665
36,Mobile,Source1,control,301.05117089729,292.6808289009081
37,Mobile,Source1,control,447.7047268677784,438.2973121202454
38,Mobile,Source1,control,227.8834360088132,242.53394859869366
39,Mobile,Source1,control,316.46722599534337,306.42788119174037
40,Mobile,Source1,control,379.40818925917097,373.27293047871865
41,Mobile,Source1,control,338.2417332194895,359.13004174731736
42,Mobile,Source1,control,281.5619292739255,282.2649135015575
43,Mobile,Source1,control,305.702340698836,296.61274766997343
44,Mobile,Source1,control,252.5977077627717,262.3715928186548
